week_date,unit,row,col,artist_type,local_pct
2026-03-26,90,9,10,International,51
2026-03-26,91,10,1,International,51
2026-03-26,92,10,2,International,51
2026-03-26,93,10,3,International,51
2026-03-26,94,10,4,International,51
2026-03-26,95,10,5,International,51
2026-03-26,96,10,6,International,51
2026-03-26,97,10,7,International,51
2026-03-26,98,10,8,International,51
2026-03-26,99,10,9,International,51
2026-03-26,100,10,10,International,51
2026-04-02,1,1,1,Local,33
2026-04-02,2,1,2,Local,33
2026-04-02,3,1,3,Local,33
2026-04-02,4,1,4,Local,33
2026-04-02,5,1,5,Local,33
2026-04-02,6,1,6,Local,33
2026-04-02,7,1,7,Local,33
2026-04-02,8,1,8,Local,33
2026-04-02,9,1,9,Local,33
2026-04-02,10,1,10,Local,33
2026-04-02,11,2,1,Local,33
2026-04-02,12,2,2,Local,33
2026-04-02,13,2,3,Local,33
2026-04-02,14,2,4,Local,33
2026-04-02,15,2,5,Local,33
2026-04-02,16,2,6,Local,33
2026-04-02,17,2,7,Local,33
2026-04-02,18,2,8,Local,33
2026-04-02,19,2,9,Local,33
2026-04-02,20,2,10,Local,33
2026-04-02,21,3,1,Local,33
2026-04-02,22,3,2,Local,33
2026-04-02,23,3,3,Local,33
2026-04-02,24,3,4,Local,33
2026-04-02,25,3,5,Local,33
2026-04-02,26,3,6,Local,33
2026-04-02,27,3,7,Local,33
2026-04-02,28,3,8,Local,33
2026-04-02,29,3,9,Local,33
2026-04-02,30,3,10,Local,33
2026-04-02,31,4,1,Local,33
2026-04-02,32,4,2,Local,33
2026-04-02,33,4,3,Local,33
2026-04-02,34,4,4,International,33
2026-04-02,35,4,5,International,33
2026-04-02,36,4,6,International,33
2026-04-02,37,4,7,International,33
2026-04-02,38,4,8,International,33
2026-04-02,39,4,9,International,33
2026-04-02,40,4,10,International,33
2026-04-02,41,5,1,International,33
2026-04-02,42,5,2,International,33
2026-04-02,43,5,3,International,33
2026-04-02,44,5,4,International,33
2026-04-02,45,5,5,International,33
2026-04-02,46,5,6,International,33
2026-04-02,47,5,7,International,33
2026-04-02,48,5,8,International,33
2026-04-02,49,5,9,International,33
2026-04-02,50,5,10,International,33
2026-04-02,51,6,1,International,33
2026-04-02,52,6,2,International,33
2026-04-02,53,6,3,International,33
2026-04-02,54,6,4,International,33
2026-04-02,55,6,5,International,33
2026-04-02,56,6,6,International,33
2026-04-02,57,6,7,International,33
2026-04-02,58,6,8,International,33
2026-04-02,59,6,9,International,33
2026-04-02,60,6,10,International,33
2026-04-02,61,7,1,International,33
2026-04-02,62,7,2,International,33
2026-04-02,63,7,3,International,33
2026-04-02,64,7,4,International,33
2026-04-02,65,7,5,International,33
2026-04-02,66,7,6,International,33
2026-04-02,67,7,7,International,33
2026-04-02,68,7,8,International,33
2026-04-02,69,7,9,International,33
2026-04-02,70,7,10,International,33
2026-04-02,71,8,1,International,33
2026-04-02,72,8,2,International,33
2026-04-02,73,8,3,International,33
2026-04-02,74,8,4,International,33
2026-04-02,75,8,5,International,33
2026-04-02,76,8,6,International,33
2026-04-02,77,8,7,International,33
2026-04-02,78,8,8,International,33
2026-04-02,79,8,9,International,33
2026-04-02,80,8,10,International,33
2026-04-02,81,9,1,International,33
2026-04-02,82,9,2,International,33
2026-04-02,83,9,3,International,33
2026-04-02,84,9,4,International,33
2026-04-02,85,9,5,International,33
2026-04-02,86,9,6,International,33
2026-04-02,87,9,7,International,33
2026-04-02,88,9,8,International,33
2026-04-02,89,9,9,International,33
2026-04-02,90,9,10,International,33
2026-04-02,91,10,1,International,33
2026-04-02,92,10,2,International,33
2026-04-02,93,10,3,International,33
2026-04-02,94,10,4,International,33
2026-04-02,95,10,5,International,33
2026-04-02,96,10,6,International,33
2026-04-02,97,10,7,International,33
2026-04-02,98,10,8,International,33
2026-04-02,99,10,9,International,33
2026-04-02,100,10,10,International,33
2026-04-16,1,1,1,Local,28
2026-04-16,2,1,2,Local,28
2026-04-16,3,1,3,Local,28
2026-04-16,4,1,4,Local,28
2026-04-16,5,1,5,Local,28
2026-04-16,6,1,6,Local,28
2026-04-16,7,1,7,Local,28
2026-04-16,8,1,8,Local,28
2026-04-16,9,1,9,Local,28
2026-04-16,10,1,10,Local,28
2026-04-16,11,2,1,Local,28
2026-04-16,12,2,2,Local,28
2026-04-16,13,2,3,Local,28
2026-04-16,14,2,4,Local,28
2026-04-16,15,2,5,Local,28
2026-04-16,16,2,6,Local,28
2026-04-16,17,2,7,Local,28
2026-04-16,18,2,8,Local,28
2026-04-16,19,2,9,Local,28
2026-04-16,20,2,10,Local,28
2026-04-16,21,3,1,Local,28
2026-04-16,22,3,2,Local,28
2026-04-16,23,3,3,Local,28
2026-04-16,24,3,4,Local,28
